total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
30.0,15.0,16.0,14.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,Mayreville (11420),/management/ville/mayreville/ville-11226
95.0,107.0,51.0,44.0,63.0,2.0,1.0,1.0,2.0,1.0,1.0,Curières (12210),/management/ville/curieres/ville-12088
1214.0,287.0,592.0,622.0,996.0,3.0,0.0,4.0,3.0,2.0,1.0,Saint-Andiol (13670),/management/ville/saint-andiol/ville-13089
1054.0,791.0,596.0,458.0,821.0,1.0,0.0,2.0,1.0,1.0,0.0,Lion-sur-Mer (14780),/management/ville/lion-sur-mer/ville-14365
153.0,84.0,81.0,72.0,120.0,2.0,1.0,1.0,1.0,1.0,0.0,Carlat (15130),/management/ville/carlat/ville-15028
235.0,35.0,92.0,143.0,208.0,1.0,0.0,3.0,1.0,1.0,0.0,Clastres (02440),/management/ville/clastres/ville-02199
206.0,103.0,96.0,110.0,168.0,1.0,0.0,1.0,1.0,1.0,0.0,Yviers (16210),/management/ville/yviers/ville-16424
184.0,66.0,94.0,90.0,175.0,2.0,0.0,0.0,4.0,2.0,2.0,Rouffignac (17130),/management/ville/rouffignac/ville-17305
112.0,126.0,57.0,55.0,85.0,1.0,1.0,0.0,1.0,0.0,1.0,Champeau-en-Morvan (21210),/management/ville/champeau-en-morvan/ville-21139
91.0,75.0,45.0,47.0,71.0,1.0,0.0,0.0,2.0,2.0,0.0,Marcillac-la-Croze (19500),/management/ville/marcillac-la-croze/ville-19126
938.0,626.0,624.0,314.0,793.0,1.0,0.0,1.0,1.0,1.0,0.0,Callac (22160),/management/ville/callac/ville-22025
130.0,18.0,64.0,66.0,94.0,2.0,1.0,4.0,3.0,1.0,2.0,Montliot-et-Courcelles (21400),/management/ville/montliot-et-courcelles/ville-21435
231.0,38.0,110.0,121.0,211.0,1.0,0.0,1.0,1.0,1.0,0.0,Treffrin (22340),/management/ville/treffrin/ville-22351
276.0,269.0,155.0,121.0,262.0,1.0,0.0,0.0,1.0,1.0,0.0,Abjat-sur-Bandiat (24300),/management/ville/abjat-sur-bandiat/ville-24001
28.0,12.0,15.0,13.0,26.0,,,,,,,La Bretenière (25640),/management/ville/la-breteniere/ville-25092
206.0,61.0,78.0,128.0,196.0,,,,,,,Queyssac (24140),/management/ville/queyssac/ville-24345
267.0,137.0,117.0,150.0,219.0,1.0,0.0,1.0,2.0,2.0,0.0,Jussy-le-Chaudrier (18140),/management/ville/jussy-le-chaudrier/ville-18120
283.0,81.0,104.0,179.0,218.0,1.0,0.0,2.0,4.0,1.0,3.0,Boisné-La Tude (16320),/management/ville/boisne-la-tude/ville-16082
1119.0,214.0,497.0,622.0,890.0,1.0,0.0,0.0,1.0,0.0,1.0,Saint-Didier-sur-Chalaronne (01140),/management/ville/saint-didier-sur-chalaronne/ville-01348
5427.0,1790.0,3391.0,2036.0,4586.0,8.0,0.0,4.0,14.0,3.0,11.0,Ambérieu-en-Bugey (01500),/management/ville/amberieu-en-bugey/ville-01004
3793.0,1274.0,2399.0,1394.0,2460.0,3.0,1.0,0.0,2.0,2.0,0.0,Villers-Cotterêts (02600),/management/ville/villers-cotterets/ville-02810
65.0,9.0,16.0,49.0,56.0,,,,,,,Monthenault (02860),/management/ville/monthenault/ville-02508
130.0,84.0,64.0,66.0,112.0,3.0,1.0,1.0,2.0,1.0,1.0,Forest-Saint-Julien (05260),/management/ville/forest-saint-julien/ville-05056
3331.0,1349.0,1892.0,1439.0,2389.0,5.0,0.0,3.0,9.0,3.0,6.0,Le Teil (07400),/management/ville/le-teil/ville-07319
191.0,21.0,74.0,117.0,180.0,2.0,0.0,2.0,2.0,2.0,0.0,Seuillet (03260),/management/ville/seuillet/ville-03273
146.0,157.0,81.0,65.0,92.0,1.0,0.0,1.0,1.0,1.0,0.0,Arlebosc (07410),/management/ville/arlebosc/ville-07014
61.0,16.0,24.0,37.0,36.0,2.0,0.0,1.0,2.0,2.0,0.0,Durfort (09130),/management/ville/durfort/ville-09109
171.0,21.0,67.0,103.0,153.0,1.0,0.0,0.0,1.0,0.0,1.0,Souligny (10320),/management/ville/souligny/ville-10373
205.0,47.0,75.0,130.0,181.0,1.0,0.0,0.0,1.0,1.0,0.0,Chamoy (10130),/management/ville/chamoy/ville-10074
2059.0,1686.0,1383.0,676.0,1614.0,10.0,0.0,6.0,10.0,6.0,4.0,Decazeville (12300),/management/ville/decazeville/ville-12089
55.0,31.0,14.0,41.0,50.0,1.0,0.0,1.0,1.0,1.0,0.0,Saint-Antonin-sur-Bayon (13100),/management/ville/saint-antonin-sur-bayon/ville-13090
237.0,207.0,137.0,100.0,199.0,1.0,0.0,0.0,1.0,1.0,0.0,Cassaniouze (15340),/management/ville/cassaniouze/ville-15029
17.0,14.0,13.0,4.0,7.0,,,,,,,Mayronnes (11220),/management/ville/mayronnes/ville-11227
223.0,61.0,91.0,132.0,192.0,1.0,0.0,2.0,1.0,1.0,0.0,Yvrac-et-Malleyrand (16110),/management/ville/yvrac-et-malleyrand/ville-16425
8818.0,11680.0,6589.0,2229.0,7405.0,52.0,2.0,63.0,60.0,8.0,52.0,Royan (17200),/management/ville/royan/ville-17306
153.0,46.0,73.0,80.0,153.0,1.0,0.0,1.0,3.0,1.0,2.0,Monthois (08400),/management/ville/monthois/ville-08303
33.0,15.0,14.0,19.0,29.0,,,,,,,Champignolles (21230),/management/ville/champignolles/ville-21140
686.0,161.0,284.0,402.0,604.0,1.0,0.0,1.0,1.0,1.0,0.0,Agonac (24460),/management/ville/agonac/ville-24002
33.0,0.0,11.0,22.0,29.0,,,,,,,Bretigney (25250),/management/ville/bretigney/ville-25093
291.0,59.0,138.0,152.0,238.0,1.0,1.0,1.0,0.0,0.0,0.0,Calorguen (22100),/management/ville/calorguen/ville-22026
54.0,4.0,20.0,33.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,Montmain (21250),/management/ville/montmain/ville-21436
131.0,78.0,56.0,75.0,117.0,1.0,0.0,1.0,1.0,1.0,0.0,Margerides (19200),/management/ville/margerides/ville-19128
168.0,85.0,67.0,101.0,136.0,,,,,,,Quinsac (24530),/management/ville/quinsac/ville-24346
119.0,29.0,58.0,61.0,113.0,1.0,0.0,1.0,1.0,1.0,0.0,Tréfumel (22630),/management/ville/trefumel/ville-22352
7570.0,4623.0,5785.0,1785.0,4365.0,28.0,0.0,20.0,35.0,11.0,24.0,Lisieux (14100),/management/ville/lisieux/ville-14366
43.0,26.0,22.0,21.0,33.0,2.0,3.0,2.0,0.0,0.0,0.0,Lantan (18130),/management/ville/lantan/ville-18121
